Id,CarInsurance
4004,1
4006,1
4009,1
4012,1
4014,1
4019,1
4020,1
4021,1
4022,1
4023,1
4027,1
4028,1
4032,1
4034,1
4036,1
4038,1
4045,1
4047,1
4051,1
4054,1
4055,1
4056,1
4058,1
4059,1
4060,1
4061,1
4063,1
4065,1
4067,1
4070,1
4071,1
4072,1
4074,1
4075,1
4078,1
4079,1
4081,1
4082,1
4084,1
4087,1
4088,1
4094,1
4097,1
4098,1
4102,1
4103,1
4104,1
4106,1
4107,1
4111,1
4113,1
4116,1
4120,1
4121,1
4126,1
4128,1
4129,1
4131,1
4134,1
4135,1
4136,1
4137,1
4140,1
4141,1
4143,1
4144,1
4145,1
4146,1
4147,1
4148,1
4149,1
4151,1
4152,1
4154,1
4157,1
4158,1
4159,1
4160,1
4161,1
4164,1
4167,1
4169,1
4171,1
4172,1
4173,1
4174,1
4175,1
4182,1
4183,1
4185,1
4187,1
4191,1
4192,1
4194,1
4195,1
4196,1
4197,1
4200,1
4201,1
4203,1
4205,1
4207,1
4212,1
4213,1
4219,1
4221,1
4223,1
4225,1
4226,1
4227,1
4228,1
4230,1
4231,1
4232,1
4233,1
4234,1
4235,1
4236,1
4237,1
4242,1
4243,1
4244,1
4246,1
4248,1
4249,1
4251,1
4252,1
4253,1
4254,1
4255,1
4257,1
4258,1
4261,1
4262,1
4263,1
4264,1
4265,1
4266,1
4267,1
4270,1
4271,1
4280,1
4282,1
4283,1
4285,1
4287,1
4290,1
4292,1
4293,1
4295,1
4299,1
4302,1
4304,1
4306,1
4307,1
4311,1
4312,1
4314,1
4315,1
4316,1
4319,1
4320,1
4321,1
4323,1
4327,1
4330,1
4331,1
4335,1
4342,1
4343,1
4344,1
4350,1
4354,1
4355,1
4356,1
4357,1
4359,1
4360,1
4361,1
4363,1
4364,1
4367,1
4368,1
4370,1
4375,1
4376,1
4377,1
4380,1
4383,1
4384,1
4385,1
4387,1
4390,1
4391,1
4392,1
4394,1
4395,1
4396,1
4400,1
4402,1
4403,1
4406,1
4408,1
4409,1
4411,1
4412,1
4413,1
4414,1
4415,1
4417,1
4420,1
4421,1
4422,1
4423,1
4428,1
4431,1
4433,1
4434,1
4436,1
4437,1
4438,1
4440,1
4446,1
4448,1
4450,1
4451,1
4452,1
4454,1
4455,1
4456,1
4461,1
4464,1
4465,1
4466,1
4468,1
4471,1
4474,1
4475,1
4476,1
4477,1
4478,1
4479,1
4480,1
4481,1
4482,1
4485,1
4486,1
4489,1
4490,1
4497,1
4498,1
4499,1
4500,1
4501,1
4503,1
4504,1
4505,1
4507,1
4509,1
4510,1
4511,1
4512,1
4513,1
4514,1
4517,1
4518,1
4519,1
4520,1
4521,1
4523,1
4524,1
4534,1
4535,1
4542,1
4543,1
4548,1
4549,1
4551,1
4553,1
4555,1
4556,1
4558,1
4559,1
4561,1
4564,1
4565,1
4566,1
4567,1
4568,1
4569,1
4570,1
4572,1
4573,1
4574,1
4576,1
4577,1
4578,1
4581,1
4582,1
4583,1
4584,1
4588,1
4589,1
4594,1
4595,1
4596,1
4598,1
4599,1
4600,1
4601,1
4602,1
4603,1
4606,1
4607,1
4608,1
4609,1
4610,1
4611,1
4613,1
4616,1
4617,1
4620,1
4623,1
4628,1
4629,1
4630,1
4631,1
4632,1
4634,1
4635,1
4637,1
4638,1
4641,1
4643,1
4644,1
4646,1
4648,1
4649,1
4651,1
4652,1
4655,1
4657,1
4658,1
4659,1
4661,1
4665,1
4667,1
4668,1
4669,1
4670,1
4671,1
4672,1
4673,1
4674,1
4677,1
4679,1
4684,1
4687,1
4690,1
4691,1
4696,1
4697,1
4698,1
4700,1
4702,1
4703,1
4704,1
4705,1
4708,1
4709,1
4715,1
4719,1
4720,1
4721,1
4722,1
4723,1
4724,1
4725,1
4726,1
4727,1
4729,1
4730,1
4733,1
4735,1
4737,1
4739,1
4741,1
4743,1
4745,1
4746,1
4747,1
4748,1
4750,1
4752,1
4753,1
4754,1
4755,1
4757,1
4759,1
4762,1
4763,1
4765,1
4767,1
4769,1
4770,1
4777,1
4778,1
4779,1
4782,1
4784,1
4785,1
4786,1
4787,1
4789,1
4790,1
4793,1
4795,1
4797,1
4798,1
4799,1
4802,1
4806,1
4807,1
4808,1
4809,1
4810,1
4811,1
4813,1
4815,1
4816,1
4818,1
4820,1
4821,1
4822,1
4824,1
4827,1
4830,1
4832,1
4835,1
4836,1
4838,1
4839,1
4840,1
4841,1
4842,1
4843,1
4844,1
4847,1
4849,1
4851,1
4852,1
4853,1
4854,1
4856,1
4857,1
4859,1
4860,1
4861,1
4862,1
4867,1
4868,1
4871,1
4872,1
4874,1
4875,1
4879,1
4881,1
4882,1
4884,1
4887,1
4889,1
4890,1
4891,1
4895,1
4898,1
4899,1
4904,1
4905,1
4911,1
4912,1
4913,1
4916,1
4917,1
4918,1
4920,1
4921,1
4925,1
4926,1
4928,1
4929,1
4932,1
4936,1
4938,1
4940,1
4941,1
4942,1
4943,1
4948,1
4949,1
4951,1
4952,1
4953,1
4955,1
4956,1
4957,1
4959,1
4960,1
4961,1
4966,1
4967,1
4969,1
4973,1
4974,1
4975,1
4976,1
4978,1
4981,1
4982,1
4986,1
4987,1
4988,1
4990,1
4994,1
4997,1
4998,1
4999,1
5000,1
